,index,num_series
2920,90010,12
2921,90232,12
2922,44706,12
2923,50482,12
2924,44312,12
2925,15203,12
2926,92627,12
2927,79412,12
2928,92553,12
2929,95832,12
2930,22307,12
2931,31404,12
2932,43615,12
2933,95678,12
2934,85009,12
2935,98074,12
2936,02109,12
2937,91701,12
2938,10705,12
2939,79601,12
2940,44721,12
2941,91360,12
2942,92551,12
2943,61109,12
2944,5495,12
2945,48108,12
2946,13502,12
2947,02131,12
2948,22303,12
2949,91792,12
2950,93307,12
2951,90056,12
2952,78215,12
2953,79107,12
2954,80919,12
2955,80521,12
2956,92865,12
2957,44305,12
2958,20705,12
2959,92173,12
2960,60633,12
2961,31206,12
2962,95341,12
2963,85015,12
2964,34119,12
2965,49504,12
2966,20712,12
2967,84403,12
2968,10453,12
2969,98206,12
2970,90503,12
2971,10703,12
2972,76039,11
2973,60433,11
2974,43205,11
2975,46280,11
2976,27560,11
2977,45644,11
2978,44431,11
2979,91340,11
2980,43606,11
2981,64056,11
2982,49050,11
2983,46231,11
2984,90808,11
2985,20722,11
2986,02126,11
2987,77873,11
2988,32333,11
2989,92410,11
2990,17404,11
2991,48504,11
2992,31602,11
2993,2132,11
2994,27284,11
2995,44502,11
2996,84601,11
2997,27282,11
2998,91020,11
2999,97317,11
3000,93312,11
3001,61705,11
3002,30815,11
3003,95926,11
3004,07004,11
3005,10282,11
3006,20781,11
3007,48915,11
3008,80905,11
3009,90810,11
3010,76711,11
3011,15212,11
3012,95134,11
3013,92869,11
3014,30303,11
3015,80910,11
3016,89431,11
3017,05461,11
3018,65810,11
3019,95117,11
3020,49507,11
3021,75247,11
3022,92841,11
3023,85378,11
3024,90640,11
3025,48604,11
3026,93033,11
3027,11040,11
3028,02215,11
3029,27209,11
3030,1603,10
3031,76053,10
3032,60504,10
3033,79403,10
3034,85031,10
3035,14757,10
3036,92881,10
3037,31601,10
3038,76014,10
3039,93110,10
3040,5471,10
3041,92058,10
3042,93004,10
3043,2109,10
3044,98002,10
3045,81004,10
3046,47909,10
3047,44505,10
3048,2121,10
3049,79763,10
3050,65809,10
3051,43613,10
3052,78226,10
3053,92009,10
3054,98390,10
3055,37915,10
3056,94518,10
3057,1605,10
3058,80301,10
3059,16511,10
3060,49076,10
3061,94541,10
3062,49073,10
3063,79103,10
3064,61525,10
3065,91345,10
3066,91762,10
3067,43155,10
3068,98327,10
3069,28715,10
3070,1854,10
3071,81001,10
3072,91790,10
3073,1105,10
3074,97405,10
3075,60503,10
3076,90212,10
3077,50438,10
